"runId","kind","runDir","horizon","folds","embargo","grid","selectedThreshold","selectionMode","constraintsSatisfied","trades","netReturnPct","profitFactor","maxDrawdownPct","stressNetReturnPct","stressProfitFactor","score"
"R01","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-04-ts001-10run-lab\R01-dev","5","5","5","0.45,0.50,0.55,0.60","0.6","fallback-risk-first","False","0","0","0","0","0","0","-20"
"R02","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-04-ts001-10run-lab\R02-dev","5","6","5","0.40,0.45,0.50,0.55","0.55","fallback-risk-first","False","47","0.3984","1.0271","-9.943","-1.2466","0.9204","-14.4404"
"R03","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-04-ts001-10run-lab\R03-dev","5","5","10","0.45,0.50,0.55,0.60","0.6","fallback-risk-first","False","0","0","0","0","0","0","-20"
"R04","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-04-ts001-10run-lab\R04-dev","3","5","5","0.45,0.50,0.55,0.60","0.6","fallback-risk-first","False","0","0","0","0","0","0","-20"
"R05","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-04-ts001-10run-lab\R05-dev","7","5","5","0.40,0.45,0.50,0.55","0.55","fallback-risk-first","False","72","-5.2114","0.8236","-15.0426","-7.7314","0.7524","-30.008"
"R06","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-04-ts001-10run-lab\R06-dev","10","5","5","0.40,0.45,0.50,0.55","0.55","fallback-risk-first","False","99","-14.3854","0.7642","-32.1081","-17.8504","0.717","-58.5814"
"R07","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-04-ts001-10run-lab\R07-dev","5","7","10","0.50,0.55,0.60,0.65","0.65","fallback-risk-first","False","0","0","0","0","0","0","-20"
"R08","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-04-ts001-10run-lab\R08-dev","7","6","10","0.45,0.50,0.55,0.60","0.6","fallback-risk-first","False","3","-0.62","0.4565","-0.7076","-0.725","0.4012","-15.4895"
"R09","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-04-ts001-10run-lab\R09-dev","3","6","10","0.50,0.55,0.60,0.65","0.65","fallback-risk-first","False","0","0","0","0","0","0","-20"
"R10","holdout","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-04-ts001-10run-lab\R10-holdout-final","5","6","5","0.40,0.45,0.50,0.55","0.55","fallback-risk-first","False","3","3.8012","999","0","3.6962","999","7995.8012"
